metabolite	ISO.1	ISO.2	ISO.3	ISO.4	ISO.5	PDL1.LAG3.1	PDL1.LAG3.2	PDL1.LAG3.4	PDL1.LAG3.5	PDL1.LAG3.6	TH1.1	TH1.2	TH1.3	TH1.4	TH1.5	TH1.PDL1_LAG3.1	TH1.PDL1_LAG3.2	TH1.PDL1_LAG3.3	TH1.PDL1_LAG3.4	TH1.PDL1_LAG3.5
PC aa C40:3	-0.640931	-1.34206	-1.00328	-0.636586	-1.22844	-1.31656	-0.806673	-0.863107	-0.993473	-0.819178	-0.873658	-0.793536	-1.16096	-0.770132	-0.64339	-1.23614	-1.01279	-0.654674	-1.22018	-1.01361
PC aa C40:4	1.07301	0.930907	1.68806	1.2545	1.00933	1.47187	1.14229	1.13277	1.22902	1.28217	1.25748	1.55464	1.16436	1.22628	1.13827	1.05186	1.25275	1.21396	1.73626	1.38925
PC aa C40:5	2.66306	2.4318	3.05931	2.81948	2.41033	2.9548	2.73843	2.73615	2.6958	2.8485	2.83942	3.0206	2.33931	2.91594	2.70959	2.55309	2.67109	2.70521	2.72633	2.95753
PC aa C40:6	3.66345	3.54897	3.62181	3.5069	3.39718	3.69877	3.2237	3.24431	3.5069	3.52547	3.30642	3.49895	3.50512	3.39491	3.30989	3.29203	3.3718	3.53438	3.60343	3.70474
PC aa C42:0	-1.16986	-1.57022	-1.59625	-1.27857	-1.39809	-1.53003	-1.70946	-1.40452	-1.54234	-1.37642	-0.559657	-1.48602	-1.35069	-1.46755	-1.33587	-1.18153	-1.38419	-1.70186	-1.59829	-1.31929
PC aa C42:1	-2.65529	-2.83349	-2.60003	-2.23512	-2.56725	-2.29099	-3.04855	-2.65505	-2.57789	-2.5516	-2.58757	-2.69627	-2.3583	-2.51301	-2.80135	-2.33366	-2.69659	-2.70777	-3.25459	-2.79948
PC aa C42:2	-0.626717	-1.22902	-1.22385	-0.7962	-1.20853	-0.810957	-1.16689	-1.09832	-1.08402	-1.46039	-1.33035	-0.911071	-0.976177	-0.920435	-1.05311	-0.783437	-1.08282	-1.13216	-1.50856	-0.93144
PC aa C42:4	-1.34495	-2.1298	-1.50503	-1.38142	-1.72337	-1.74455	-1.68205	-1.74455	-1.57407	-1.74455	-1.65053	-1.18015	-1.30629	-0.945264	-1.08343	-1.80386	-1.04735	-1.35587	-1.56776	-1.05656
PC aa C42:5	-0.557676	-0.530636	-0.641427	-0.527726	-1.20853	-0.740709	-0.806673	-0.52148	-1.36458	-0.791193	-0.813363	-0.584188	-0.941938	-0.497491	-0.402023	-0.88998	-0.669007	-0.296	-0.882375	-0.503955
PC aa C42:6	-0.129218	0.221642	-0.0242267	0.0903035	-0.161066	-0.102789	-0.198289	0.140762	-0.0173773	0.229583	-0.14653	0.214576	0	-0.0296285	0	0.248654	0.0686996	0.122555	-0.111735	0
PC ae C30:0	-2.01374	-1.59789	-1.59625	-1.69038	-1.56434	-1.00196	-1.50405	-1.63838	-1.20525	-1.52658	-1.493	-0.529643	-1.59628	-1.79324	-1.71962	-1.38204	-1.57804	-1.51858	-1.1966	-1.29328
PC ae C30:1	-2.05122	-2.4904	-3.3725	-2.4919	-2.61752	-3.61591	-3.12338	-2.40837	-2.4035	-2.84499	-2.42682	-2.36758	-2.0321	-2.27199	-2.22394	-2.88585	-2.58083	-2.76469	-2.29854	-2.65765
PC ae C30:2	-4.97721	-4.39658	-4.05344	-4.1876	-4.05498	-5.20685	-3.93685	-3.76584	-4.77399	-4.12535	-3.97224	-3.87734	-3.96586	-4.42528	-3.96917	-4.30408	-4.22004	-4.61206	-4.16622	-4.02524
PC ae C32:1	0.167336	0.102897	0.612529	0.29927	0.0372413	0.532398	0.394868	0.0646892	0.491058	0.18785	0.0806876	0.502258	0.30867	0.208717	0.205474	0.0349542	0.11006	-0.00863839	0.329312	0.224598
PC ae C32:2	-1.87288	-1.87334	-1.64405	-1.63821	-1.83973	-1.99374	-1.73742	-2.12461	-1.93356	-1.88078	-1.89518	-1.38469	-1.65094	-1.65256	-1.6475	-2.06954	-1.8684	-2.5493	-2.11115	-1.78043
PC ae C34:0	-0.517783	-1.18611	-0.653827	-0.563086	-0.954747	-0.375446	-0.850611	-0.999278	-0.556283	-0.936604	-0.75572	-0.42647	-0.584854	-0.706458	-0.65446	-0.703331	-1.13788	-0.752862	-0.722064	-0.564265
PC ae C34:1	1.75245	2.37184	2.60255	1.91153	2.00142	2.86471	2.08838	2.09017	2.78383	2.39539	1.79773	2.15565	1.55097	2.05508	1.96099	1.64	2.23823	1.9385	2.68726	2.30219
PC ae C34:2	0.874874	0.445396	0.992539	0.877129	0.658605	0.870692	0.630938	0.551235	0.686046	0.715883	0.691362	0.897873	0.858026	0.767935	0.77609	0.434876	0.795004	0.873091	0.937913	0.869782
PC ae C34:3	0.69056	-0.376048	-0.0823446	0.570596	0.280791	-0.706748	-0.264884	-0.212874	-0.887304	-0.230202	0.0472639	0.230425	0.520529	0.0794344	0.450207	0.0117451	-0.00799021	0.249825	-0.391725	-0.0743202
PC ae C36:0	-0.744554	-1.124	-0.926487	-0.92903	-0.873698	-0.577908	-0.709269	-0.393542	-0.6767	-1.06393	-0.673744	-0.556653	-0.694205	-1.0096	-0.95212	-0.372158	-0.914198	-0.905765	-1.06263	-0.798194
PC ae C36:1	0.942438	0.879906	1.03339	0.937275	0.653421	1.05064	0.79131	0.768764	0.798947	0.847875	0.696766	0.90771	1.01743	0.787779	0.752391	0.755054	0.574638	0.757253	0.613515	0.829571
PC ae C36:2	1.5515	1.01052	1.11569	1.65148	1.28966	1.17604	0.814811	1.05194	1.00841	1.15235	1.29362	1.38975	1.64782	1.25222	1.41173	1.22904	1.2263	1.47701	0.987101	1.38448
PC ae C36:3	-0.0994701	-0.614439	-0.187607	-0.125462	-0.230977	-0.18444	-0.376472	-0.230795	-0.354941	-0.239796	-0.286646	-0.0185364	-0.216124	-0.238096	-0.189841	-0.452478	-0.0653072	-0.145218	-0.378358	0
PC ae C36:4	1.67259	1.47401	2.24506	1.55502	1.53984	2.45686	1.8073	1.89342	2.16418	2.00141	1.66046	1.97043	1.63977	1.75791	1.79584	1.63236	2.10403	1.94948	2.91748	2.14247
PC ae C36:5	4.16466	2.71197	3.99648	3.71279	3.54347	2.76922	3.63058	3.55792	2.67197	3.48833	3.27956	3.43373	3.93802	3.5069	3.55356	3.64706	3.5309	3.49774	3.5069	3.77949
PC ae C38:0	0.0136484	-0.0679519	-0.187607	-0.116741	-0.141682	-0.091469	-0.314494	-0.35345	-0.113586	-0.239796	-0.286646	-0.197262	0.0508437	-0.281404	-0.166506	-0.0750972	-0.333203	0.114704	-0.365114	-0.0526849
PC ae C38:1	-1.80729	-2.01441	-1.8806	-1.49238	-2.47154	-1.41961	-1.82486	-1.74455	-2.10472	-1.66835	-1.76716	-1.91157	-1.59628	-1.32346	-1.76996	-1.80386	-1.90125	-1.4466	-1.79636	-1.70956
PC ae C38:2	-0.233053	-0.916254	-0.32068	0	-0.392902	-0.375446	-0.452473	-0.445388	-0.507426	-0.308718	-0.399838	-0.207884	0	-0.396784	-0.365723	-0.519978	-0.439689	-0.440687	-0.791135	-0.248056
PC ae C38:3	0.199361	-0.503724	-0.0406004	0.560302	-0.141682	-0.160668	-0.082522	0.254754	-0.216214	0.0159407	0.00436704	0.307131	0.440836	0.196892	0.181426	-0.127333	0.0261405	-0.254235	-0.214956	0.515049
PC ae C38:4	2.54018	1.85875	2.41867	2.44531	2.20277	2.36507	2.10165	2.15457	2.17529	2.3176	2.36354	2.31956	2.46292	2.28051	2.25432	1.97203	2.25914	1.98832	2.3957	2.50915
PC ae C38:5	1.78162	1.97079	2.51568	1.67227	1.76153	2.69617	2.075	2.16749	2.7801	2.36024	1.84967	2.10997	1.89935	1.88863	2.01239	1.5975	2.18958	1.80701	3.26558	2.56651
PC ae C38:6	2.35036	1.28993	2.33186	2.22357	1.92802	1.58125	1.94217	1.84609	1.53941	1.87442	1.70141	1.82865	2.03766	1.88495	1.92785	1.56178	1.77642	1.49214	1.88424	1.84469
PC ae C40:1	0.777768	0.898669	0.774409	0.518333	0.71937	0.286702	0.0330708	0.268395	0.465898	0.504121	0.29523	0.284549	0.730518	0.11757	0.314226	0.28786	0.404681	0.360088	0.919069	0.403432
PC ae C40:2	-2.05122	-2.44022	-2.4255	-2.19653	-1.93341	-2.60106	-2.2432	-2.08853	-3.17136	-2.26871	-2.37733	-2.22799	-2.0321	-2.00968	-1.84923	-1.57819	-2.07889	-2.40644	-2.24937	-2.06076
PC ae C40:3	-0.924103	-2.05189	-1.52731	-1.0251	-1.83973	-1.44648	-1.20481	-1.11556	-1.28286	-1.37642	-1.35239	-1.2451	-1.20099	-0.896094	-1.51399	-1.18153	-1.40693	-1.13216	-2.11115	-1.40028
PC ae C40:4	0.54891	0.259069	0.659862	0.555125	0.366211	0.393	0.350334	0.410545	0.351823	0.504121	0.537256	0.656445	0.402473	0.447005	0.527591	0.443588	0.424566	0.412193	0.338437	0.498384
PC ae C40:5	-0.190618	-0.451325	0.00803687	-0.0739285	-0.0943031	0.0712512	-0.304428	-0.0936648	0.105224	-0.128499	-0.247794	-0.0659654	-0.22631	0	-0.106205	-0.419833	-0.253754	-0.174147	0.215526	-0.235787
PC ae C40:6	0.0136484	-0.192231	-0.233773	-0.272882	-0.315133	-0.102789	-0.709269	-0.267365	-0.256535	-0.164695	-0.399838	-0.251185	-0.354595	-0.364953	-0.321695	-0.502816	-0.531475	-0.317342	0.0168805	-0.418046
PC ae C42:0	1.33572	1.34168	1.28832	1.32721	1.23584	1.69879	1.225	1.25135	1.68719	1.22743	1.18237	1.59759	1.32457	1.20282	1.17087	1.72143	1.40219	1.32301	1.53494	1.71476
PC ae C42:1	0.191421	0.159577	0.448906	0.20213	0.14577	-0.172508	-0.0321907	-0.0694312	0.405531	0.0704141	-0.443548	0.222522	0.170451	0.0135465	0.156945	-0.0370792	-0.0569663	0.0666756	0.383295	0.302385
PC ae C42:2	-1.4165	-1.46445	-1.27977	-1.33938	-1.51491	-1.74455	-1.95076	-1.58826	-1.4509	-1.69332	-1.89518	-1.38469	-1.4439	-1.72091	-1.4723	-1.57819	-1.15675	-1.84857	-1.53786	-1.70956
PC ae C42:3	-1.12922	-0.614439	-1.01913	-1.18272	-0.98845	-1.3932	-1.38961	-1.34158	-1.06088	-1.25861	-1.73702	-1.6238	-1.4439	-1.39342	-1.53534	-1.47692	-1.57804	-1.73004	-0.826945	-1.40028
PC ae C42:5	0.597699	0.643656	0.596412	0.512996	0.551087	0.772476	0.543416	0.470831	0.839226	0.504121	0.728771	0.736025	0.629439	0.310999	0.378682	0.914177	0.580571	0.528838	0.912737	0.915434
PC ae C44:3	-2.16986	-2.17036	-2.5102	-2.53965	-2.47154	-2.60106	-2.46334	-2.364	-2.19801	-2.74074	-2.03707	-2.10092	-2.18586	-2.23601	-2.50369	-2.11878	-2.28397	-2.45252	-1.98496	-1.93378
PC ae C44:4	-1.83971	-1.87334	-1.82467	-1.29855	-1.58969	-1.61835	-1.98411	-1.71722	-1.48078	-1.5958	-1.493	-1.36045	-1.82878	-1.87005	-1.74455	-1.44462	-1.65869	-1.67422	-1.66136	-1.51603
PC ae C44:5	-1.1494	-1.20741	-1.46144	-1.20138	-1.72337	-1.71202	-1.22417	-1.28144	-1.28286	-1.5493	-0.673744	-1.18015	-1.22144	-1.4486	-1.45194	-1.23614	-1.25534	-1.62046	-1.53786	-1.07853
PC ae C44:6	-1.90683	-2.1298	-2.19707	-1.85959	-1.75161	-2.073	-2.37104	-1.85977	-1.89359	-1.90956	0.199564	-2.14202	-1.9268	-1.79324	-1.87673	-1.64971	-2.11746	-1.24989	-2.15578	-1.74455
SM (OH) C14:1	-1.51778	-1.16512	-0.783895	-1.0757	-1.35382	-0.657165	-0.927092	-1.01529	-0.71291	-0.819178	-1.07321	-1.48602	-1.18084	-1.25724	-1.24631	-1.12884	-1.1759	-1.24989	-1.12807	-1.16998
SM (OH) C16:1	-2.08969	-1.87334	-1.31826	-2.12238	-1.51491	-1.3932	-1.65518	-1.80094	-1.57407	-2.162	-2.15457	-1.91157	-1.89337	-1.84392	-1.74455	-1.97566	-2.00497	-2.23551	-1.69395	-1.81724
SM (OH) C22:1	-1.65529	-5.42252	-1.93871	-2.01801	-2.8376	-2.29099	-1.91819	-2.08853	-1.54234	-2.79197	-1.62293	-1.53954	-1.59628	-1.95193	-1.76996	-2.58451	-2.32907	-1.59431	-3.84261	-1.85503
SM (OH) C22:2	-1.05122	-2.71007	-1.61996	-2.64029	-2.61752	-1.64894	-1.95076	-2.23902	-1.60647	-2.06233	-1.70755	-1.94747	-2.60821	-1.56691	-1.90482	-2.51776	-2.32907	-2.36179	-2.91178	-2.72679
SM (OH) C24:1	-3.83971	-5.84832	-3.93484	-3.46815	-4.05498	-3.14404	-2.91004	-3.76584	-2.77461	-3.35344	-3.81781	-3.21087	-3.96586	-4.23392	-5.57519	-4.30408	-4.66767	-3.71369	-5.58865	-3.13445
SM C16:0	4.78498	4.93649	5.4125	4.40387	4.64802	5.98457	4.94233	4.70584	5.64596	5.14782	4.49917	4.79794	4.62895	4.59401	4.35386	4.67616	4.81625	4.66204	5.52289	5.24119
SM C16:1	0.335224	0.458252	0.394245	0.274032	0.21135	0.202052	0.0491365	0.0489846	0.11589	0.0704141	0.364739	0.238284	0.395977	0.098628	0.0807372	0.408422	0.308146	0.25697	0.0279768	0.0564529
SM C18:0	1.56987	1.46784	1.86193	1.21984	1.17987	2.41645	1.57062	1.05983	2.04839	1.57928	0.916507	1.61262	1.25207	1.01017	1.09562	1.06323	1.06098	1.23932	1.3866	1.50392
SM C18:1	-1.51778	-0.703273	-1.33789	-1.27857	-1.33217	-1.06419	-1.52812	-1.38322	-1.28286	-1.5493	-1.67873	-1.09792	-1.59628	-1.37555	-1.45194	-1.50992	-1.43007	-1.29136	-1.47984	-1.31929
SM C24:0	1.0986	-0.628879	0.675312	1.00985	0.0532692	1.02203	0.593308	0.366806	0.405531	0.685993	0.975515	1.38625	0.848618	0.767935	0.560107	0.697883	0.431135	0.806662	0.383295	1.26041
SM C24:1	2.71872	1.37514	3.1102	2.53367	2.08621	3.41676	2.66424	2.35179	3.0972	2.77714	2.33257	2.76499	2.43111	2.23498	2.39218	2.27926	2.51799	2.44555	2.59735	2.87268
H1	10.9892	10.2844	10.7828	9.46522	10.2105	12.5501	11.2839	12.1592	11.5389	11.6683	9.6908	10.7461	8.90071	10.4763	9.32879	10.5314	11.5608	10.0807	12.8417	11.9646
